shoe_name,url,brand,review_date,price,total_score,audience_score,user_rating,expert_rating,ranking,popularity,ranking_percentile,popularity_percentile,pros,cons,awards,rr_verdict,num_pros,num_cons,num_awards,user_review_count,expert_review_count,terrain,arch,arch_support,use,pace,season,shoe_weight_g,toe_drop_mm,foot_height_mm,heel_stack_lab,heel_lab,forefoot_lab,midsole_softness,difference_in_midsole_softness_in_cold,stiffness,difference_in_stiffness_in_cold,torsional_rigidity,heel_counter_stiffness,toebox_durability,heel_padding_durability,outsole_durability,breathability,lightweight,plate,rocker,waterproofing,size,width_fit,toebox_width,widths_available,orthotic_friendly,for_heavy_runners,drop_mm,drop_lab,weight_lab,strike_pattern,trail_terrain,lug_depth,has_carbon_plate,removable_insole,toe_drop,foot_height,shoe_weight
Kailas Phantom 3.0,https://runrepeat.com/kailas-phantom-3-0,Kailas,2023-02-16,126.0,90.0,90.0,100.0,,55.0,323.0,Top 17%,Bottom 1%,"['Well-cushioned', ' Versatile (road-to-trail)', ' Very lightweight for its stack', ' Protective toebox', ' Decent breathability', ' Secure lockdown', ' Affordable for its category']","['Not for wide feet', ' Shallow lugs']","['Top 14% in trail running shoes', ' Top 22% in long distance running shoes']",The Phantom 3.0 is a simple and straightforward shoe from the up-and-coming brand Kailas. We discovered that it works best as a hybrid shoe and it takes us from the door to the trail. The Phantom stands out as a noticeably lighter and cheaper alternative to shoes with similar characteristics. And we can totally affirm that it comes with no compromise in comfort or cushioning.,7,2,2,10.0,,Trail,Neutral,Neutral,[''],,All seasons,235.0,,,35.5 mm,,25.0 mm,Balanced,Small,Moderate,Big,Moderate,Stiff,-,-,-,Moderate,✗,✗,,,-,Narrow,-,Normal,✓,✗,10.5,10.5 mm,"8.9 oz / 253g, 8.3 oz / 235g",Heel,Light,1.8 mm,False,✓,,,Men: 8.3 oz / 235g | Women: 6.7 oz / 190g
La Sportiva Mutant,https://runrepeat.com/la-sportiva-mutant,La Sportiva,2024-03-13,165.0,87.0,87.0,88.0,86.0,141.0,230.0,Top 44%,Bottom 29%,"['Exceptional fit for narrow feet', ' Extremely durable upper', ' Outstanding stability', ' Great breathability', ' Customizable lockdown', ' Head-turning design', ' Fairly priced']","['Unquestionably heavy', ' Potential for rapid outsole wear', ' Excessively firm midsole']",[''],"The La Sportiva Mutant stands out as a fierce trail running shoe, built for stability on technical terrain. In our tests, we found it excels in the wildest runs. However, its performance dips on easier terrains, so it's more of a specialized, high-drop tool in your rotation rather than the ultimate do-it-all trail shoe. Its specific design is matched with a unique, eye-catching look that's bound to split opinions among everyone. And while it's not the lightest option out there, we believe that its rugged construction and exceptional grip make it a formidable choice for those challenging, technical trails.",7,3,1,1769.0,16.0,Trail,Neutral,Neutral,"['Off-trail ', ' Mud']",,All seasons,303.0,10.0,16.0,"33.2 mm, 26.0 mm",,"21.9 mm, 16.0 mm",Firm,Small,Moderate,Small,Stiff,Moderate,Good,Good,Decent,Moderate,,✗,,,Half size small,Narrow,Medium,Normal,✓,✗,10.65,"11.3 mm, 10.0 mm","11.4 oz / 323g, 10.7 oz / 303g",Heel,Technical,5.0 mm,False,✓,10 mm,16 mm,Men: 10.7 oz / 303g | Women: 9 oz / 256g
La Sportiva Prodigio,https://runrepeat.com/la-sportiva-prodigio,La Sportiva,2024-06-04,155.0,84.0,84.0,82.0,88.0,224.0,211.0,Bottom 30%,Bottom 34%,"['Breathable upper', ' Solid performance', ' Stable platform', ' Improved rocker', ' Hike & walk ready', ' Allows toe splay', ' Bouncy supercritical midsole']","['Poor durability', ' Could use even more foam', ' Not for technical trails']",[''],"The Prodigio fills a notable gap in La Sportiva's lineup with its plush midsole, ideal for long distances. We really liked the comfortable ride and versatility the shoe offered during our runs. However, our lab tests uncovered a surprising downside—durability was significantly lacking. This is a major concern for us, particularly when recommending it to runners who aren't lightweight. In our experience, while the shoe performs wonderfully in terms of comfort and versatility, its short lifespan could be a dealbreaker for many.",7,3,1,147.0,16.0,Trail,Neutral,Neutral,[''],,All seasons,270.0,6.0,28.0,"29.3 mm, 34.0 mm",,"20.4 mm, 28.0 mm",Soft,Normal,Moderate,Small,Stiff,Stiff,Very bad,Bad,Decent,Moderate,,✗,,,Slightly small,Medium,Medium,Normal,✓,,7.45,"8.9 mm, 6.0 mm","9.6 oz / 271g, 9.5 oz / 270g","Heel, Mid/forefoot",Moderate,3.4 mm,False,✓,6 mm,28 mm,Men: 9.5 oz / 270g | Women: 8.1 oz / 230g
Merrell Agility Peak 4,https://runrepeat.com/merrell-agility-peak-4,Merrell,2024-02-08,130.0,86.0,86.0,89.0,81.0,329.0,511.0,Bottom 41%,Bottom 8%,"['Really stable ride', ' Excellent for winter weather', ' Thrives in muddy conditions', ' Lugs excel uphill and downhill', ' Doubles as hiking shoe', ' Ample stack height for heel strikers', ' Upper fits most types of feet']","['Lackluster durability', ' Average-at-best breathability', ' Actual drop differs from 6 mm']",['Top pick in best Merrell trail running shoes (2023)'],"We discovered that the Merrell Agility Peak 4 delivers a mixed bag of features, with notable strengths countered by significant drawbacks. We appreciated its stability and traction in challenging conditions, yet couldn't overlook the firm, muted ride of the FloatPro midsole. It doubled effectively as a hiking shoe, but durability concerns arose from the outsole and upper. Through rigorous lab analysis and real-world testing, we uncovered a range of strengths and weaknesses, leaving us questioning its overall performance.",7,3,1,5755.0,9.0,Trail,Neutral,Neutral,"['Hiking ', ' Off-trail ', ' Mud']",,All seasons,305.0,6.0,24.0,"34.4 mm, 30.0 mm",,"25.1 mm, 24.0 mm",Balanced,Small,Moderate,Small,Stiff,Stiff,Decent,Decent,Decent,Moderate,,Rock plate,,,Slightly large,Narrow,Wide,Normal,✓,✗,7.65,"9.3 mm, 6.0 mm","10.3 oz / 292g, 10.8 oz / 305g","Heel, Mid/forefoot",Technical,4.4 mm,False,✓,6 mm,24 mm,Men: 10.8 oz / 305g | Women: 10.2 oz / 290g
Merrell Agility Peak 5,https://runrepeat.com/merrell-agility-peak-5,Merrell,2024-01-05,140.0,88.0,88.0,88.0,87.0,128.0,99.0,Top 40%,Top 31%,"['Outstanding Vibram Megagrip outsole', ' Easily handles tough trails', ' Performs well on both downhills and uphills', ' Extremely durable upper with numerous TPU reinforcements', ' Suitable for year-round use', ' Loads of recycled', ' eco-friendly stuff', ' Great for long-distance runs thanks to its cushioning', ' Wonderful for heel strikers', ' Excellent all-terrain shoe']","['Heavier than expected', "" Actual drop deviates significantly from what's stated"", ' Could be more affordable', ' Narrow toebox']","['Top pick in best ultra running shoes', ' Top pick in best mud running shoes']","The Agility Peak 5 from Merrell builds on its predecessor's success, offering key updates. We found the latest version lighter and more stable, especially with its improved Vibram Megagrip outsole and strategic lug design. The nearly 40-mm stack height offers exceptional muscle protection, making it ideal for diverse trail challenges. While it excels in cushioning and comfort, we still see room for improvement, particularly in reducing weight and refining the design for forefoot and midfoot strikers.",10,4,2,5166.0,19.0,Trail,Neutral,Neutral,"['Hiking ', ' Off-trail ', ' Mud']",,All seasons,300.0,6.0,33.0,"39.2 mm, 39.0 mm",,"25.8 mm, 33.0 mm",Balanced,Small,Stiff,Small,Stiff,Stiff,Very good,Decent,Good,Moderate,,Rock plate,,,True to size,Medium,Narrow,Normal,✓,✗,9.7,"13.4 mm, 6.0 mm","10.2 oz / 289g, 10.6 oz / 300g",Heel,"Moderate, Technical",4.5 mm,False,✓,6 mm,33 mm,Men: 10.6 oz / 300g | Women: 10.5 oz / 297g
Merrell Agility Peak 5 GTX,https://runrepeat.com/merrell-agility-peak-5-gtx,Merrell,2024-12-16,170.0,80.0,80.0,89.0,,277.0,249.0,Bottom 14%,Bottom 23%,"['True waterproof protection', ' Grippy', ' trail-ready Vibram outsole', ' Perfect for cold', ' wet climates', ' Can handle some challenging conditions', ' Stable yet cushioned heel', ' Improved for hiking and walking', ' Well-designed outsole lugs', ' Great build quality', ' Keeps feet warm', ' Rock plate']","['Narrow toebox', ' Heel padding durability concerns', ' No reflective elements', ' Drop differs too much from stated']","['Top pick in best waterproof trail running shoes', ' Top pick in best Merrell trail running shoes']","The Merrell Agility Peak 5 GTX overcomes the common drawbacks of Gore-Tex variants—it gained minimal weight, maintained comfort, and even improved flexibility. In our lab tests, it performed wonderfully as a winter-ready trail companion. With its waterproof upper and grippy Vibram Megagrip outsole, we believe it’s an outstanding choice for runners seeking a narrow-toebox shoe that performs well in harsh, wet conditions.",12,4,2,1500.0,,Trail,Neutral,Neutral,"['Hiking ', ' Off-trail ', ' Mud ', ' Snow']",,Winter,303.0,6.0,33.0,"37.3 mm, 39.0 mm",,"25.7 mm, 33.0 mm",Balanced,Small,Moderate,Small,Stiff,Stiff,Good,Bad,Decent,Warm,,Rock plate,,Waterproof,True to size,Narrow,Medium,Normal,✓,✓,8.8,"11.6 mm, 6.0 mm","10.4 oz / 296g, 10.7 oz / 303g",Heel,"Moderate, Technical",4.4 mm,False,✓,6 mm,33 mm,Men: 10.7 oz / 303g | Women: 9.5 oz / 268g
Merrell Fly Strike,https://runrepeat.com/merrell-fly-strike,Merrell,2024-04-08,90.0,79.0,79.0,88.0,,287.0,265.0,Bottom 11%,Bottom 18%,"['Great ventilation', ' Durable and cozy upper', ' Ultra-plush tongue', ' Reasonably priced', ' Suitable for casual wear', ' Works well for walking and hiking', ' Can be used as a go-to travel shoe']","['Excessively high drop', ' Only suited for heel strikers', ' Lacks outsole durability']","['Top pick in best Merrell trail running shoes', ' Top pick in best Merrell running shoes']","The Merrell Fly Strike is an affordable trail shoe that shines for walking and hiking. However, in our lab tests, it fell short for running. We found that its bizarre 17-mm drop is a mismatch for many, enough to dismay barefoot aficionados, also resulting in a forefoot that's too thin and skimps on cushioning. However, its great breathability and cozy upper impressed us, making it a good pick for a wide range of outdoor adventures.",7,3,2,1002.0,,Trail,Neutral,Neutral,['Hiking'],,All seasons,295.0,10.0,17.0,"34.3 mm, 27.0 mm",,"17.0 mm, 17.0 mm",Balanced,Small,Flexible,Small,Stiff,Moderate,Good,Decent,Decent,Moderate,,✗,,,True to size,Narrow,Wide,"Normal, Wide",✓,,13.65,"17.3 mm, 10.0 mm","10.3 oz / 292g, 10.4 oz / 295g",Heel,Light,3.5 mm,False,✓,10 mm,17 mm,Men: 10.4 oz / 295g | Women: 9.1 oz / 258g
Merrell Moab Flight,https://runrepeat.com/merrell-moab-flight,Merrell,2025-03-06,110.0,89.0,89.0,90.0,87.0,78.0,270.0,Top 25%,Bottom 16%,"['Budget-friendly price', ' Comfortable and plush upper', ' Generous heel cushioning', ' Durable Vibram EcoStep outsole', ' Lightweight for a trail shoe', ' Flexible build enhances hiking', ' Secure lockdown', ' Reflective details', ' Semi-gusseted tongue']","['Poor airflow', ' Not the most grippy Vibram rubber', ' Heel-to-toe drop feels excessive', ' Midsole lacks energy return']","['Top pick in best Merrell trail running shoes (2023)', ' Top 20% in trail running shoes', ' Top 13% in Merrell running shoes']","We found that the Merrell Moab Flight offers great value, especially for heel strikers who benefit from its high drop. In our lab tests, we were pleased to see that despite its budget-friendly price, it still features a Vibram outsole and a plush, comfort-focused upper. During testing, the shoe felt flexible and well-suited for hiking. However, we don’t recommend it for those wanting a bouncy midsole or better breathability—its firm foam and heavily padded upper make it a poor choice for hot weather and runners looking for energy return.",9,4,3,7611.0,5.0,Trail,Neutral,Neutral,"['Hiking ', ' For beginners']",,All seasons,300.0,10.0,19.0,"32.6 mm, 29.0 mm",,"19.1 mm, 19.0 mm",Balanced,Normal,Flexible,Normal,Stiff,Moderate,Good,Good,Good,Warm,,,,,True to size,Medium,Medium,"Normal, Wide",✓,,11.75,"13.5 mm, 10.0 mm","9.6 oz / 271g, 10.6 oz / 300g",Heel,Light,2.9 mm,False,✓,10 mm,19 mm,Men: 10.6 oz / 300g | Women: 8.5 oz / 241g
Merrell Morphlite,https://runrepeat.com/merrell-morphlite,Merrell,2024-11-29,100.0,88.0,88.0,90.0,85.0,115.0,269.0,Top 36%,Bottom 16%,"['Excellent price point', ' Versatile across multiple terrains', ' Feather-light build', ' Eco-conscious recycled materials', ' Improved fit vs. previous Merrells', ' Works fantastic for heel strikers', ' Good arch support', ' Well-designed tongue']","['Sparse outsole coverage', ' Major durability concerns', ' Drop differs too much from stated', ' Not for wide feet']","['Top pick in best Merrell trail running shoes', ' Top pick in best Merrell running shoes', ' Top 29% in trail running shoes', ' Top 25% in Merrell running shoes']","The Merrell Morphlite is a versatile, adventure-ready running shoe that excels in taking you from your doorstep to easy trails, all wrapped in an impressively lightweight yet broad design. We found its performance truly remarkable for the price, offering a unique blend of comfort and build quality. However, in our lab tests, the shoe revealed significant durability concerns, making it a less ideal choice for runners seeking a long-lasting option.",8,4,4,2145.0,11.0,Trail,Neutral,Neutral,['Hiking'],,All seasons,243.0,6.0,20.0,"32.3 mm, 26.0 mm",,"21.3 mm, 20.0 mm",Soft,Small,Moderate,Normal,Stiff,Flexible,Bad,Decent,Decent,Moderate,✓,,,,True to size,Narrow,Medium,"Normal, Wide",✓,,8.5,"11.0 mm, 6.0 mm","8.4 oz / 237g, 8.6 oz / 243g",Heel,Light,2.0 mm,False,✓,6 mm,20 mm,Men: 8.6 oz / 243g | Women: 7.6 oz / 215g
Merrell Nova 2,https://runrepeat.com/merrell-nova-2,Merrell,2020-11-06,110.0,85.0,85.0,87.0,90.0,386.0,406.0,Bottom 30%,Bottom 27%,"['Fits true to size', ' Grip is great in good conditions', ' A decent amount of cushioning', ' Excellent lockdown', ' Sturdy upper', ' Dependable Vibram outsole', ' Good laces']","['Too much ground feel for some', ' Heavier than most', ' Grip isn’t reliable in wet conditions']",[''],"With less flair than many modern alternatives, I couldn't deny that the Merrell Nova 2 is a traditionally designed trail running shoe. However, in my personal encounters with its versatility and grip, I verified its position as one of the best trail running shoes for beginners.",7,3,1,6125.0,3.0,Trail,Neutral,Neutral,"['Hiking ', ' Off-trail ', ' Mud']",,-,280.0,8.0,21.0,"35.1 mm, 29.0 mm",,"25.8 mm, 21.0 mm",-,-,Moderate,Big,-,-,-,-,-,-,,Rock plate,,,-,Narrow,-,"Normal, Wide",✗,,8.65,"9.3 mm, 8.0 mm","10.3 oz / 293g, 9.9 oz / 280g","Heel, Mid/forefoot","Moderate, Technical",4.2 mm,False,✗,8 mm,21 mm,9.9 oz / 280g
Merrell Nova 3,https://runrepeat.com/merrell-nova-3,Merrell,2023-12-11,125.0,80.0,80.0,86.0,75.0,282.0,157.0,Bottom 12%,Top 49%,"['Upper crafted entirely from recycled materials', ' Ideal for beginners', ' Versatile for both hiking and walking', ' Superb Vibram outsole with effective Traction Lugs', ' Attractive pricing for its features', ' Integrated rock plate for underfoot protection', ' Secure heel lockdown', ' Really cushioned']","['Only suited for mild to moderate trails', ' Needs a reduction in weight', ' Not suited for fast paces']","['Top pick in best Merrell trail running shoes', ' Top pick in best Merrell running shoes']","We love the Merrell Nova 3 as it stands out as a versatile shoe catering to a wide range of runners and outdoor activities. Its environmentally friendly, durable upper complements a generously cushioned midsole, ensuring comfort and support for extended adventures, be it running, walking, or hiking. We were particularly impressed by the Vibram outsole, which offers exceptional grip and durability. However, the shoe's weight is a tad heavier than ideal, and at times, its stiffness was more noticeable than we'd like. Nonetheless, considering its fair price point and the array of impressive features it offers, we believe the Nova 3 is a solid choice.",8,3,2,3177.0,2.0,Trail,Neutral,Neutral,['Hiking'],,All seasons,295.0,8.0,21.0,"34.1 mm, 29.0 mm",,"24.2 mm, 21.0 mm",Balanced,Small,Moderate,Small,Stiff,Flexible,Decent,Decent,Good,Moderate,,Rock plate,,,True to size,Narrow,Medium,"Normal, Wide",✓,✗,8.95,"9.9 mm, 8.0 mm","10.8 oz / 305g, 10.4 oz / 295g","Heel, Mid/forefoot","Light, Moderate",3.5 mm,False,✓,8 mm,21 mm,10.4 oz / 295g
Merrell Trail Glove 7,https://runrepeat.com/merrell-trail-glove-7,Merrell,2023-12-22,120.0,81.0,81.0,84.0,84.0,259.0,166.0,Bottom 20%,Bottom 48%,"['Authentic minimalist experience', ' Genuine zero-drop design', ' Provides a good amount of cushioning', ' Doubles as hiking and walking shoe', ' Sturdy and long-lasting upper', ' Perfect for summer adventures', ' Exceptionally flexible', ' Super quick and agile on corners', ' Ideal for both experts and beginners']","['Completely unsuitable for winter conditions', ' Outsole durability is a letdown', ' Might be excessively narrow for some runners']","['Top pick in best Merrell trail running shoes', ' Top pick in best Merrell running shoes']","Crafting a minimalist, zero-drop running shoe that thrives on trails is no small feat, and Merrell continues to excel with its Trail Glove series. In its seventh version, we tested a true zero-drop trail shoe that's perfect for both beginners and veterans of barefoot running. We were struck by its durable upper, exceptional stability, and remarkable agility in cornering, along with the Vibram outsole that offers superb grip. However, we did find the outsole's durability to be lacking. Overall, the Merrell Trail Glove 7 stands out as a fun and unique choice, perfect as a running and hiking companion for the minimalist aficionado.",9,3,2,10616.0,4.0,Trail,Neutral,Neutral,['Hiking'],,All seasons,255.0,0.0,14.0,"16.1 mm, 14.0 mm",,"16.0 mm, 14.0 mm",Balanced,Normal,Flexible,Small,Flexible,Flexible,Decent,Bad,Decent,Moderate,✓,,,,True to size,Medium,Wide,Normal,✗,,0.05,"0.1 mm, 0.0 mm","7.8 oz / 221g, 9 oz / 255g",Mid/forefoot,Light,2.5 mm,False,✗,0 mm,14 mm,9 oz / 255g
Merrell Vapor Glove 6,https://runrepeat.com/merrell-vapor-glove-6,Merrell,2023-12-24,90.0,86.0,86.0,87.0,84.0,173.0,144.0,Bottom 46%,Top 45%,"['Foot-shaped toebox', ' Exceptional ground feel', ' Fairly priced at $90', ' Highly responsive and agile', ' Extremely flexible design', ' Maintains grip', ' even on wet surfaces', ' Sockless ready', ' Perfect for road running or tackling easy trails', ' Versatile enough for hiking', ' walking', ' or even gym workouts']","['Overly spacious for those with narrow feet', ' Outsole shows wear quickly', ' The cushioned insole detracts from a true barefoot experience']","['Top pick in best zero drop running shoes', ' Top pick in best Merrell running shoes', ' Top 29% in Shoes for gym and running']","The sixth edition of Merrell's Vapor Glove returns, now offering enhanced comfort to complement the barefoot experience. Although originally designed for easy trails, we were thrilled to find this minimalist runner just as exceptional on the road and in the gym. Despite its $90 price tag, which might suggest a basic level, the shoe's comfort, grip, and performance were outstanding in our lab. However, we noticed the outsole could wear down quickly, and the fit may be too spacious for those with narrow feet. Based on our tests, the Vapor Glove 6 stands out as an authentic zero-drop option, offering great value for its price.",12,3,3,7467.0,9.0,Road,Neutral,Neutral,"['Gym ', ' Jogging ', ' Walking']",['Daily running'],All seasons,150.0,0.0,6.0,,"7.6 mm, 6.0 mm","7.6 mm, 6.0 mm",-,-,Flexible,Small,Flexible,Flexible,Decent,Decent,Decent,Moderate,✓,,,,True to size,Medium,Wide,Normal,✗,,0.0,"0.0 mm, 0.0 mm","5.6 oz / 159g, 5.3 oz / 150g",Mid/forefoot,,,False,✗,0 mm,6 mm,5.3 oz / 150g
Mizuno Neo Vista,https://runrepeat.com/mizuno-neo-vista,Mizuno,2024-10-03,180.0,91.0,91.0,94.0,86.0,18.0,119.0,Top 6%,Top 37%,"['Exceptional all-around durability', ' Comfortable', ' plush midsole', ' Endless cushioning', ' Incredibly fun ride', ' Reliable traction', ' Versatile', ' Flexible despite huge stack', ' Well-designed rocker', ' Stretchy knit upper', ' Big reflective Mizuno logo']","['Limited heel stability', ' Rock-catching outsole', ' Overheats in summer']","['Top pick in best Mizuno running shoes', ' Top 7% in road running shoes', ' Top 12% in Mizuno running shoes']","The supertrainer market is hot right now, and we believe that Mizuno has really upped the ante with a dopamine-boosting shoe that's as enjoyable as it is effective. It pairs a unique sock-like upper with a massive, cloud-like midsole for an exceptional blend of comfort and cushioning—all at a fair price. However, it does struggle with breathability and stability due to a flexible heel counter—yet, in our experience, these aren't dealbreakers, and it still earns high marks from us.",11,3,3,43194.0,25.0,Road,Neutral,Neutral,"['Jogging ', ' Walking']","['Daily running', ' Tempo']",All seasons,266.0,8.0,36.5,,"44.9 mm, 44.5 mm","35.3 mm, 36.5 mm",Soft,Small,Moderate,Normal,Stiff,Flexible,Good,Good,Good,Moderate,,,✓,,True to size,Medium,Medium,"Normal, Wide",✓,,8.8,"9.6 mm, 8.0 mm","9.1 oz / 259g, 9.4 oz / 266g","Heel, Mid/forefoot",,,False,✓,8 mm,36.5 mm,Men: 9.4 oz / 266g | Women: 7.8 oz / 221g
Mizuno Neo Zen,https://runrepeat.com/mizuno-neo-zen,Mizuno,2025-05-12,150.0,87.0,87.0,96.0,88.0,159.0,75.0,Top 50%,Top 24%,"['Plush and bouncy foam', ' Feather-light for a max-stack trainer', ' Fun', ' agile ride', ' Ideal for long runs', ' Solid value for performance', ' Comfortable and breathable \ufeffknit upper', ' Toebox resist heavy wear', ' Eye-catching design', ' Outsole grips and lasts']","['Wobbly for those needing support', ' Heel sink slows rearfoot strikers', ' Upper lacks padding and structure', ' Enerzy NXT firms up in cold conditions']","['Top pick in best Mizuno running shoes', ' Top 24% most popular running shoes']","Mizuno is back in style, and the Neo Zen proves it loud and clear. We loved the breathable knit upper and the thick, cushion-packed Enerzy NXT foam that made every step feel soft and smooth. It’s surprisingly lightweight for such a high-stack trainer, and that helps it feel quick at faster paces too. While it might not be the best pick for heel strikers or runners who need extra stability, we think this fun-looking, ultra-plush daily trainer is a strong choice for easy miles and long runs alike.",10,4,2,37.0,22.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear']","['Daily running', ' Tempo']",All seasons,240.0,6.0,34.0,,"41.0 mm, 40.0 mm","34.0 mm, 34.0 mm",Soft,Normal,-,-,Moderate,Flexible,Good,Good,Good,Moderate,✓,,✗,,True to size,Medium,Medium,Normal,✓,,6.5,"7.0 mm, 6.0 mm","8.3 oz / 234g, 8.5 oz / 240g",Mid/forefoot,,,False,✓,6 mm,34 mm,Men: 8.5 oz / 240g | Women: 7.1 oz / 201g
Mizuno Wave Horizon 6,https://runrepeat.com/mizuno-wave-horizon-6,Mizuno,2022-08-05,170.0,89.0,89.0,92.0,84.0,144.0,472.0,Top 26%,Bottom 15%,"[""Support that's not harsh"", ' Impact-absorbing', ' Gives your stride a boost', ' Very comfy for recovery runs', ' Stable when cornering', ' Breathable', ' Keeps the foot in place', ' Grip that sticks']","['Long break-in period', ' Comes with a hefty tag']","['Top 29% in road running shoes', ' Top 24% in stability running shoes']","We appreciate the Wave Horizon 6 from Mizuno for being a stability running shoe that's ready for cruising long miles and giving our feet and legs the rest day they deserve during recovery sessions. Unlike other stability shoes, the Horizon 6 doesn't feel harsh. As a matter of fact, it's a very comfy shoe that will give you all the cushioning you crave.",8,2,2,2811.0,11.0,Road,Stability,Stability,"['Jogging ', ' Walking ', ' All-day wear']",['Daily running'],-,318.0,8.0,30.0,,"37.1 mm, 38.0 mm","30.6 mm, 30.0 mm",Balanced,Small,Moderate,Big,Moderate,Stiff,-,-,-,-,,,✗,,True to size,Medium,-,"Normal, Wide",✓,,7.25,"6.5 mm, 8.0 mm","11 oz / 313g, 11.2 oz / 318g",Mid/forefoot,,,False,✓,8 mm,30 mm,11.2 oz / 318g
Mizuno Wave Horizon 7,https://runrepeat.com/mizuno-wave-horizon-7,Mizuno,2024-12-18,170.0,88.0,88.0,92.0,89.0,131.0,257.0,Top 41%,Bottom 20%,"['Exceptional stability for overpronators', ' Ultra-durable outsole', ' Max-stack cushioning', ' Roomy toebox', ' Rubber Wall tech enhances medial support', ' Reflective heel details', ' Versatile for daily wear', ' Secure lacing system']","['H-E-A-V-Y', ' Ride lacks excitement', ' Heel padding durability concerns', ' Could use better breathability']",[''],"In our view, the Mizuno Wave Horizon 7 is a tank of a shoe—built for battle with exceptional stability and world-class outsole durability. We found that its ultra-wide base delivers a steady, reliable ride that effortlessly supports overpronators. While its hefty weight and massive build can feel clunky, the spacious toebox and plush fit deliver impressive comfort for easy miles.",8,4,1,1944.0,2.0,Road,Stability,Stability,"['Jogging ', ' Walking ', ' All-day wear']",['Daily running'],All seasons,334.0,8.0,33.0,,"39.1 mm, 41.0 mm","31.9 mm, 33.0 mm",Balanced,Normal,Moderate,Normal,Stiff,Stiff,Decent,Bad,Good,Moderate,,,,,Slightly small,Medium,Wide,"Normal, Wide",✓,,7.6,"7.2 mm, 8.0 mm","11.6 oz / 329g, 11.8 oz / 334g","Heel, Mid/forefoot",,,False,✓,8 mm,33 mm,Men: 11.8 oz / 334g | Women: 9.8 oz / 278g
Mizuno Wave Inspire 19,https://runrepeat.com/mizuno-wave-inspire-19,Mizuno,2023-11-06,140.0,88.0,88.0,91.0,83.0,205.0,369.0,Top 37%,Bottom 33%,"['Embedded Wave Plate enhances stability and responsiveness', ' Enerzy Lite midsole delivers thick', ' protective cushioning', ' Strong grip even in wet conditions', ' Handles light trails with ease', ' X10 rubber is tough and long-lasting', ' Well-built upper', ' Perfect fit for runners with wide feet']","['Upper lacks breathability', ' Fit may be too loose for narrow feet', ' The 12.4-mm heel drop might not suit everyone']","['Top pick in best Mizuno running shoes (2023)', ' Top 26% in running shoes for beginners']","We put the Mizuno Wave Inspire 19 to the test and it really stood out in the stability category. Its well-crafted upper, exceptional grip, and durability impressed us, especially on wet surfaces, gravel roads and easy trails. However, it's best suited for those who prefer a significant heel drop, and we also noticed that the upper isn't ideal for hot weather.",8,3,2,4041.0,6.0,Road,Stability,Stability,"['Jogging ', ' Walking ', ' All-day wear ', ' For beginners']",['Daily running'],All seasons,303.0,12.0,24.0,,"38.2 mm, 36.0 mm","25.8 mm, 24.0 mm",Soft,Small,Flexible,Normal,Moderate,Stiff,Decent,Decent,Good,Moderate,,,,,Slightly small,Medium,Wide,"Normal, Wide",✓,,12.2,"12.4 mm, 12.0 mm","10.3 oz / 293g, 10.7 oz / 303g",Heel,,,False,✓,12 mm,24 mm,Men: 10.7 oz / 303g | Women: 8.6 oz / 244g
Mizuno Wave Inspire 20,https://runrepeat.com/mizuno-wave-inspire-20,Mizuno,2024-02-26,140.0,86.0,86.0,92.0,81.0,189.0,201.0,Bottom 41%,Bottom 37%,"['Reliable', ' stable ride', ' Great impact dampening', ' Gobbles up miles', ' Comfy and secure heel hold', ' Generously padded', ' Breathable and roomy toebox', ' Great traction even when wet', ' Can handle light trails', ' Works well as a walking shoe', ' Just as comfy in the winter', ' Durable and sustainably produced upper']","['12.6 mm drop may not suit all runners', ' A little wide for narrow feet', ' Somewhat heavy']",['Top pick in best Mizuno running shoes'],"The Mizuno Wave Inspire 20 is a daily trainer aimed at runners with mild overpronation that makes great use of the brand's various technologies to keep us as neutral as possible. Its cushy and responsive Enerzy foam midsole protects us with a pleasant bounce while the wave plate stabilizes our movements and propels us forward. Whether we're out for an easy recovery run or a mile-gobbling distance effort, this shoe kept us feeling comfy and supported through and through. As an added bonus, with its now plant-based plate and 90% recycled upper, Mizuno made some environmentally responsible choices with the Wave Inspire 20 that we can all get behind.",12,3,1,2351.0,2.0,Road,Stability,Stability,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear ', ' For beginners']",['Daily running'],All seasons,305.0,12.0,25.5,,"37.7 mm, 37.5 mm","25.1 mm, 25.5 mm",Balanced,Small,Moderate,Small,Stiff,Stiff,Good,Good,Good,Moderate,,,,,True to size,Medium,Medium,"Normal, Wide",✓,,12.3,"12.6 mm, 12.0 mm","10.7 oz / 302g, 10.8 oz / 305g",Heel,,,False,✓,12 mm,25.5 mm,10.8 oz / 305g
